Breed	Variety	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Österreichischer Pinscher		Austria	64	Austrian  Pinscher	https://www.fci.be/en/nomenclature/AUSTRIAN-PINSCHER-64.html	Pinscher	Definitive
Dansk-Svensk Gårdshund		Denmark, Sweden	356	Danish-Swedish Farmdog	https://www.fci.be/en/nomenclature/DANISH-SWEDISH-FARMDOG-356.html	Pinscher	Definitive
Affenpinscher		Germany	186		https://www.fci.be/en/nomenclature/AFFENPINSCHER-186.html	Pinscher	Definitive
Dobermann	Black With Rust Red Clearly Defined And Clean Markings	Germany	143		https://www.fci.be/en/nomenclature/DOBERMANN-143.html	Pinscher	Definitive
Dobermann	Brown With Rust Red Clearly Defined And Clean Markings	Germany	143		https://www.fci.be/en/nomenclature/DOBERMANN-143.html	Pinscher	Definitive
Deutscher Pinscher	Self Coloured: Deer Red, Reddish-Brown To Dark Red Brown	Germany	184	German Pinscher	https://www.fci.be/en/nomenclature/GERMAN-PINSCHER-184.html	Pinscher	Definitive
Deutscher Pinscher	Black And Tan	Germany	184	German Pinscher	https://www.fci.be/en/nomenclature/GERMAN-PINSCHER-184.html	Pinscher	Definitive
Zwergpinscher	Self Coloured: Deer Red, Reddish-Brown To Dark Red Brown	Germany	185	Miniature Pinscher	https://www.fci.be/en/nomenclature/MINIATURE-PINSCHER-185.html	Pinscher	Definitive
Zwergpinscher	Black And Tan	Germany	185	Miniature Pinscher	https://www.fci.be/en/nomenclature/MINIATURE-PINSCHER-185.html	Pinscher	Definitive
Riesenschnauzer	Pepper And Salt	Germany	181	Giant Schnauzer	https://www.fci.be/en/nomenclature/GIANT-SCHNAUZER-181.html	Pinscher	Definitive
Riesenschnauzer	Pure Black With Black Undercoat	Germany	181	Giant Schnauzer	https://www.fci.be/en/nomenclature/GIANT-SCHNAUZER-181.html	Pinscher	Definitive
Riesenschnauzer	Black And Silver	Germany	181	Giant Schnauzer	https://www.fci.be/en/nomenclature/GIANT-SCHNAUZER-181.html	Pinscher	Definitive
Zwergschnauzer	Pepper And Salt	Germany	183	Miniature Schnauzer	https://www.fci.be/en/nomenclature/MINIATURE-SCHNAUZER-183.html	Pinscher	Definitive
Zwergschnauzer	Pure Black With Black Undercoat	Germany	183	Miniature Schnauzer	https://www.fci.be/en/nomenclature/MINIATURE-SCHNAUZER-183.html	Pinscher	Definitive
