Breed	Variety	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Australian Kelpie		Australia	293		https://www.fci.be/en/nomenclature/AUSTRALIAN-KELPIE-293.html	Sheepdogs	Definitive
Chien De Berger Belge	Groenendael	Belgium	15	Belgian Shepherd Dog	https://www.fci.be/en/nomenclature/BELGIAN-SHEPHERD-DOG-15.html	Sheepdogs	Definitive
Chien De Berger Belge	Laekenois	Belgium	15	Belgian Shepherd Dog	https://www.fci.be/en/nomenclature/BELGIAN-SHEPHERD-DOG-15.html	Sheepdogs	Definitive
Chien De Berger Belge	Malinois	Belgium	15	Belgian Shepherd Dog	https://www.fci.be/en/nomenclature/BELGIAN-SHEPHERD-DOG-15.html	Sheepdogs	Definitive
Chien De Berger Belge	Tervueren	Belgium	15	Belgian Shepherd Dog	https://www.fci.be/en/nomenclature/BELGIAN-SHEPHERD-DOG-15.html	Sheepdogs	Definitive
Schipperke		Belgium	83		https://www.fci.be/en/nomenclature/SCHIPPERKE-83.html	Sheepdogs	Definitive
Hrvatski Ovcar		Croatia	277	Croatian Shepherd Dog	https://www.fci.be/en/nomenclature/CROATIAN-SHEPHERD-DOG-277.html	Sheepdogs	Definitive
Berger De Beauce		France	44		https://www.fci.be/en/nomenclature/BERGER-DE-BEAUCE-44.html	Sheepdogs	Definitive
Berger De Brie		France	113	Briard	https://www.fci.be/en/nomenclature/BRIARD-113.html	Sheepdogs	Definitive
Chien De Berger Des Pyrenees A Poil Long		France	141	Long-Haired Pyrenean Sheepdog	https://www.fci.be/en/nomenclature/LONG-HAIRED-PYRENEAN-SHEEPDOG-141.html	Sheepdogs	Definitive
Berger De Picardie		France	176	Picardy Sheepdog	https://www.fci.be/en/nomenclature/PICARDY-SHEEPDOG-176.html	Sheepdogs	Definitive
Chien De Berger Des Pyrenees A Face Rase		France	138	Pyrenean Sheepdog - Smooth Faced	https://www.fci.be/en/nomenclature/PYRENEAN-SHEEPDOG-SMOOTH-FACED-138.html	Sheepdogs	Definitive
Deutscher Schäferhund	Double Coat	Germany	166	German Shepherd Dog	https://www.fci.be/en/nomenclature/GERMAN-SHEPHERD-DOG-166.html	Sheepdogs	Definitive
Deutscher Schäferhund	Long And Harsh Outer Coat	Germany	166	German Shepherd Dog	https://www.fci.be/en/nomenclature/GERMAN-SHEPHERD-DOG-166.html	Sheepdogs	Definitive
Bearded Collie		Great Britain	271		https://www.fci.be/en/nomenclature/BEARDED-COLLIE-271.html	Sheepdogs	Definitive
Border Collie		Great Britain	297		https://www.fci.be/en/nomenclature/BORDER-COLLIE-297.html	Sheepdogs	Definitive
Collie Rough		Great Britain	156		https://www.fci.be/en/nomenclature/COLLIE-ROUGH-156.html	Sheepdogs	Definitive
Collie Smooth		Great Britain	296		https://www.fci.be/en/nomenclature/COLLIE-SMOOTH-296.html	Sheepdogs	Definitive
Old English Sheepdog		Great Britain	16		https://www.fci.be/en/nomenclature/OLD-ENGLISH-SHEEPDOG-16.html	Sheepdogs	Definitive
Shetland Sheepdog		Great Britain	88		https://www.fci.be/en/nomenclature/SHETLAND-SHEEPDOG-88.html	Sheepdogs	Definitive
Komondor		Hungary	53		https://www.fci.be/en/nomenclature/KOMONDOR-53.html	Sheepdogs	Definitive
Kuvasz		Hungary	54		https://www.fci.be/en/nomenclature/KUVASZ-54.html	Sheepdogs	Definitive
Mudi	Fawn	Hungary	238		https://www.fci.be/en/nomenclature/MUDI-238.html	Sheepdogs	Definitive
Mudi	Black	Hungary	238		https://www.fci.be/en/nomenclature/MUDI-238.html	Sheepdogs	Definitive
Mudi	Blue-Merle	Hungary	238		https://www.fci.be/en/nomenclature/MUDI-238.html	Sheepdogs	Definitive
Mudi	Ash Coloured (Blue Grey)	Hungary	238		https://www.fci.be/en/nomenclature/MUDI-238.html	Sheepdogs	Definitive
Mudi	Brown	Hungary	238		https://www.fci.be/en/nomenclature/MUDI-238.html	Sheepdogs	Definitive
Mudi	White	Hungary	238		https://www.fci.be/en/nomenclature/MUDI-238.html	Sheepdogs	Definitive
Puli	Pearl-White	Hungary	55		https://www.fci.be/en/nomenclature/PULI-55.html	Sheepdogs	Definitive
Puli	Blackc) Black Shaded With Rust-Red Or Greyd) Fawne) Grey In Any Shade	Hungary	55		https://www.fci.be/en/nomenclature/PULI-55.html	Sheepdogs	Definitive
Pumi	Grey In Various Shades	Hungary	56		https://www.fci.be/en/nomenclature/PUMI-56.html	Sheepdogs	Definitive
Pumi	Black	Hungary	56		https://www.fci.be/en/nomenclature/PUMI-56.html	Sheepdogs	Definitive
Pumi	Fawn (Fakó). Primary Colours: Red, Yellow, Cream	Hungary	56		https://www.fci.be/en/nomenclature/PUMI-56.html	Sheepdogs	Definitive
