Breed	Variety	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Canadian Eskimo Dog		Canada	211		https://www.fci.be/en/nomenclature/CANADIAN-ESKIMO-DOG-211.html	Spitz	Definitive
Grønlandshund		Greenland	274	Greenland Dog	https://www.fci.be/en/nomenclature/GREENLAND-DOG-274.html	Spitz	Definitive
Samoiedskaïa Sabaka		Northern Russia, Siberia	212	Samoyed	https://www.fci.be/en/nomenclature/SAMOYED-212.html	Spitz	Definitive
Alaskan Malamute		United States Of America	243		https://www.fci.be/en/nomenclature/ALASKAN-MALAMUTE-243.html	Spitz	Definitive
Siberian Husky		United States Of America	270		https://www.fci.be/en/nomenclature/SIBERIAN-HUSKY-270.html	Spitz	Definitive
Suomenpystykorva		Finland	49	Finnish Spitz	https://www.fci.be/en/nomenclature/FINNISH-SPITZ-49.html	Spitz	Definitive
Karjalankarhukoira		Finland	48	Karelian Bear Dog	https://www.fci.be/en/nomenclature/KARELIAN-BEAR-DOG-48.html	Spitz	Definitive
Norsk Elghund Sort		Norway	268	Norwegian Elkhound Black	https://www.fci.be/en/nomenclature/NORWEGIAN-ELKHOUND-BLACK-268.html	Spitz	Definitive
Norsk Elghund Grå		Norway	242	Norwegian Elkhound Grey	https://www.fci.be/en/nomenclature/NORWEGIAN-ELKHOUND-GREY-242.html	Spitz	Definitive
Norsk Lundehund		Norway	265	Norwegian Lundehund	https://www.fci.be/en/nomenclature/NORWEGIAN-LUNDEHUND-265.html	Spitz	Definitive
Vostotchno-Sibirskaïa Laïka		Russian Federation	305	East Siberian Laika	https://www.fci.be/en/nomenclature/EAST-SIBERIAN-LAIKA-305.html	Spitz	Definitive
Russko-Evropeïskaïa Laïka		Russian Federation	304	Russian-European Laika	https://www.fci.be/en/nomenclature/RUSSIAN-EUROPEAN-LAIKA-304.html	Spitz	Definitive
Zapadno-Sibirskaïa Laïka		Russian Federation	306	West Siberian Laika	https://www.fci.be/en/nomenclature/WEST-SIBERIAN-LAIKA-306.html	Spitz	Definitive
Jämthund		Sweden	42		https://www.fci.be/en/nomenclature/JAMTHUND-42.html	Spitz	Definitive
Norrbottenspets		Sweden	276	Norrbottenspitz	https://www.fci.be/en/nomenclature/NORRBOTTENSPITZ-276.html	Spitz	Definitive
Suomenlapinkoira		Finland	189	Finnish Lapponian Dog	https://www.fci.be/en/nomenclature/FINNISH-LAPPONIAN-DOG-189.html	Spitz	Definitive
Lapinporokoira		Finland	284	Lapponian Herder	https://www.fci.be/en/nomenclature/LAPPONIAN-HERDER-284.html	Spitz	Definitive
Íslenskur Fjárhundur		Iceland	289	Icelandic Sheepdog	https://www.fci.be/en/nomenclature/ICELANDIC-SHEEPDOG-289.html	Spitz	Definitive
Norsk Buhund		Norway	237	Norwegian Buhund	https://www.fci.be/en/nomenclature/NORWEGIAN-BUHUND-237.html	Spitz	Definitive
Svensk Lapphund		Sweden	135	Swedish Lapphund	https://www.fci.be/en/nomenclature/SWEDISH-LAPPHUND-135.html	Spitz	Definitive
Västgötaspets		Sweden	14	Swedish Vallhund	https://www.fci.be/en/nomenclature/SWEDISH-VALLHUND-14.html	Spitz	Definitive
Deutscher Spitz	Keeshond (Wolfspitz)	Germany	97	German Spitz	https://www.fci.be/en/nomenclature/GERMAN-SPITZ-97.html	Spitz	Definitive
