Breed	Variety	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Terrier Brasileiro		Brazil	341	Brazilian Terrier	https://www.fci.be/en/nomenclature/BRAZILIAN-TERRIER-341.html	Terriers	Definitive
Deutscher Jagdterrier		Germany	103	German Hunting Terrier	https://www.fci.be/en/nomenclature/GERMAN-HUNTING-TERRIER-103.html	Terriers	Definitive
Airedale Terrier		Great Britain	7		https://www.fci.be/en/nomenclature/AIREDALE-TERRIER-7.html	Terriers	Definitive
Bedlington Terrier		Great Britain	9		https://www.fci.be/en/nomenclature/BEDLINGTON-TERRIER-9.html	Terriers	Definitive
Border Terrier		Great Britain	10		https://www.fci.be/en/nomenclature/BORDER-TERRIER-10.html	Terriers	Definitive
Fox Terrier (Smooth)		Great Britain	12		https://www.fci.be/en/nomenclature/FOX-TERRIER-SMOOTH-12.html	Terriers	Definitive
Fox Terrier (Wire)		Great Britain	169		https://www.fci.be/en/nomenclature/FOX-TERRIER-WIRE-169.html	Terriers	Definitive
Lakeland Terrier		Great Britain	70		https://www.fci.be/en/nomenclature/LAKELAND-TERRIER-70.html	Terriers	Definitive
Manchester Terrier		Great Britain	71		https://www.fci.be/en/nomenclature/MANCHESTER-TERRIER-71.html	Terriers	Definitive
Parson Russell Terrier		Great Britain	339		https://www.fci.be/en/nomenclature/PARSON-RUSSELL-TERRIER-339.html	Terriers	Definitive
Welsh Terrier		Great Britain	78		https://www.fci.be/en/nomenclature/WELSH-TERRIER-78.html	Terriers	Definitive
Irish Glen Of Imaal Terrier		Ireland	302		https://www.fci.be/en/nomenclature/IRISH-GLEN-OF-IMAAL-TERRIER-302.html	Terriers	Definitive
Irish Soft Coated Wheaten Terrier		Ireland	40		https://www.fci.be/en/nomenclature/IRISH-SOFT-COATED-WHEATEN-TERRIER-40.html	Terriers	Definitive
Irish Terrier		Ireland	139		https://www.fci.be/en/nomenclature/IRISH-TERRIER-139.html	Terriers	Definitive
Kerry Blue Terrier		Ireland	3		https://www.fci.be/en/nomenclature/KERRY-BLUE-TERRIER-3.html	Terriers	Definitive
Australian Terrier		Australia	8		https://www.fci.be/en/nomenclature/AUSTRALIAN-TERRIER-8.html	Terriers	Definitive
Ceský Terier		Czech Republic	246	Cesky Terrier	https://www.fci.be/en/nomenclature/CESKY-TERRIER-246.html	Terriers	Definitive
Cairn Terrier		Great Britain	4		https://www.fci.be/en/nomenclature/CAIRN-TERRIER-4.html	Terriers	Definitive
Dandie Dinmont Terrier		Great Britain	168		https://www.fci.be/en/nomenclature/DANDIE-DINMONT-TERRIER-168.html	Terriers	Definitive
Jack Russell Terrier		Great Britain	345		https://www.fci.be/en/nomenclature/JACK-RUSSELL-TERRIER-345.html	Terriers	Definitive
Norfolk Terrier		Great Britain	272		https://www.fci.be/en/nomenclature/NORFOLK-TERRIER-272.html	Terriers	Definitive
Norwich Terrier		Great Britain	72		https://www.fci.be/en/nomenclature/NORWICH-TERRIER-72.html	Terriers	Definitive
Scottish Terrier		Great Britain	73		https://www.fci.be/en/nomenclature/SCOTTISH-TERRIER-73.html	Terriers	Definitive
Sealyham Terrier		Great Britain	74		https://www.fci.be/en/nomenclature/SEALYHAM-TERRIER-74.html	Terriers	Definitive
Skye Terrier		Great Britain	75		https://www.fci.be/en/nomenclature/SKYE-TERRIER-75.html	Terriers	Definitive
West Highland White Terrier		Great Britain	85		https://www.fci.be/en/nomenclature/WEST-HIGHLAND-WHITE-TERRIER-85.html	Terriers	Definitive
Nihon Teria		Japan	259	Japanese Terrier	https://www.fci.be/en/nomenclature/JAPANESE-TERRIER-259.html	Terriers	Definitive
Bull Terrier		Great Britain	11		https://www.fci.be/en/nomenclature/BULL-TERRIER-11.html	Terriers	Definitive
Miniature Bull Terrier		Great Britain	359		https://www.fci.be/en/nomenclature/MINIATURE-BULL-TERRIER-359.html	Terriers	Definitive
Staffordshire Bull Terrier		Great Britain	76		https://www.fci.be/en/nomenclature/STAFFORDSHIRE-BULL-TERRIER-76.html	Terriers	Definitive
American Staffordshire Terrier		United States Of America	286		https://www.fci.be/en/nomenclature/AMERICAN-STAFFORDSHIRE-TERRIER-286.html	Terriers	Definitive
Australian Silky Terrier		Australia	236		https://www.fci.be/en/nomenclature/AUSTRALIAN-SILKY-TERRIER-236.html	Terriers	Definitive
English Toy Terrier		Great Britain	13	English Toy Terrier (Black &Tan)	https://www.fci.be/en/nomenclature/ENGLISH-TOY-TERRIER-BLACK-TAN-13.html	Terriers	Definitive
Yorkshire Terrier		Great Britain	86		https://www.fci.be/en/nomenclature/YORKSHIRE-TERRIER-86.html	Terriers	Definitive
