Breed	Country of Origin	Variety	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Gos Rater Valencià	Spain		370	Valencian Terrier	https://www.fci.be/en/nomenclature/VALENCIAN-TERRIER-370.html	Terriers	Provisional
Continental Bulldog	Switzerland		369		https://www.fci.be/en/nomenclature/CONTINENTAL-BULLDOG-369.html	Pinscher	Provisional
Cão De Gado Transmontano	Portugal		368	Transmontano Mastiff	https://www.fci.be/en/nomenclature/TRANSMONTANO-MASTIFF-368.html	Pinscher	Provisional
Eesti Hagijas	Estonia		366	Estonian Hound	https://www.fci.be/en/nomenclature/ESTONIAN-HOUND-366.html	Scent	Provisional
Miniature American Shepherd	United States Of America		367		https://www.fci.be/en/nomenclature/MINIATURE-AMERICAN-SHEPHERD-367.html	Sheepdogs	Provisional
Yakutskaya Laika	Russian Federation		365	Yakutian Laika	https://www.fci.be/en/nomenclature/YAKUTIAN-LAIKA-365.html	Spitz	Provisional
Chodsky Pes	Czech Republic		364	Bohemian Shepherd Dog	https://www.fci.be/en/nomenclature/BOHEMIAN-SHEPHERD-DOG-364.html	Sheepdogs	Provisional
Prazsky Krysarik	Czech Republic		363	Prague Ratter	https://www.fci.be/en/nomenclature/PRAGUE-RATTER-363.html	Companion	Provisional
Anjing Kintamani-Bali	Indonesia		362	Kintamani-Bali Dog	https://www.fci.be/en/nomenclature/KINTAMANI-BALI-DOG-362.html	Spitz	Provisional
Segugio Maremmano	Italy		361		https://www.fci.be/en/nomenclature/SEGUGIO-MAREMMANO-361.html	Scent	Provisional
Lancashire Heeler	England		360		https://www.fci.be/en/nomenclature/LANCASHIRE-HEELER-360.html	Sheepdogs	Provisional
Australian Stumpy Tail Cattle Dog	Australia		351		https://www.fci.be/en/nomenclature/AUSTRALIAN-STUMPY-TAIL-CATTLE-DOG-351.html	Sheepdogs	Provisional
