Breed	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
ÖSTERREICHISCHER PINSCHER	AUSTRIA	64	AUSTRIAN  PINSCHER	https://www.fci.be/en/nomenclature/AUSTRIAN-PINSCHER-64.html	Pinscher	Definitive
DANSK-SVENSK GÅRDSHUND	DENMARK, SWEDEN	356	DANISH-SWEDISH FARMDOG	https://www.fci.be/en/nomenclature/DANISH-SWEDISH-FARMDOG-356.html	Pinscher	Definitive
AFFENPINSCHER	GERMANY	186		https://www.fci.be/en/nomenclature/AFFENPINSCHER-186.html	Pinscher	Definitive
DOBERMANN	GERMANY	143		https://www.fci.be/en/nomenclature/DOBERMANN-143.html	Pinscher	Definitive
DEUTSCHER PINSCHER	GERMANY	184	GERMAN PINSCHER	https://www.fci.be/en/nomenclature/GERMAN-PINSCHER-184.html	Pinscher	Definitive
ZWERGPINSCHER	GERMANY	185	MINIATURE PINSCHER	https://www.fci.be/en/nomenclature/MINIATURE-PINSCHER-185.html	Pinscher	Definitive
RIESENSCHNAUZER	GERMANY	181	GIANT SCHNAUZER	https://www.fci.be/en/nomenclature/GIANT-SCHNAUZER-181.html	Pinscher	Definitive
ZWERGSCHNAUZER	GERMANY	183	MINIATURE SCHNAUZER	https://www.fci.be/en/nomenclature/MINIATURE-SCHNAUZER-183.html	Pinscher	Definitive
SCHNAUZER	GERMANY	182		https://www.fci.be/en/nomenclature/SCHNAUZER-182.html	Pinscher	Definitive
HOLLANDSE SMOUSHOND	THE NETHERLANDS	308	DUTCH SMOUSHOND	https://www.fci.be/en/nomenclature/DUTCH-SMOUSHOND-308.html	Pinscher	Definitive
RUSSKIY TCHIORNY TERRIER	RUSSIAN FEDERATION	327	RUSSIAN BLACK TERRIER	https://www.fci.be/en/nomenclature/RUSSIAN-BLACK-TERRIER-327.html	Pinscher	Definitive
DOGO ARGENTINO	ARGENTINA	292		https://www.fci.be/en/nomenclature/DOGO-ARGENTINO-292.html	Pinscher	Definitive
FILA BRASILEIRO	BRAZIL	225		https://www.fci.be/en/nomenclature/FILA-BRASILEIRO-225.html	Pinscher	Definitive
SHAR PEI	CHINA	309		https://www.fci.be/en/nomenclature/SHAR-PEI-309.html	Pinscher	Definitive
BROHOLMER	DENMARK	315		https://www.fci.be/en/nomenclature/BROHOLMER-315.html	Pinscher	Definitive
