Breed	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Nova Scotia Duck Tolling Retriever	Canada	312		https://www.fci.be/en/nomenclature/NOVA-SCOTIA-DUCK-TOLLING-RETRIEVER-312.html	Retrievers	Definitive
Curly Coated Retriever	Great Britain	110		https://www.fci.be/en/nomenclature/CURLY-COATED-RETRIEVER-110.html	Retrievers	Definitive
Flat Coated Retriever	Great Britain	121		https://www.fci.be/en/nomenclature/FLAT-COATED-RETRIEVER-121.html	Retrievers	Definitive
Golden Retriever	Great Britain	111		https://www.fci.be/en/nomenclature/GOLDEN-RETRIEVER-111.html	Retrievers	Definitive
Labrador Retriever	Great Britain	122		https://www.fci.be/en/nomenclature/LABRADOR-RETRIEVER-122.html	Retrievers	Definitive
Chesapeake Bay Retriever	United States Of America	263		https://www.fci.be/en/nomenclature/CHESAPEAKE-BAY-RETRIEVER-263.html	Retrievers	Definitive
Deutscher Wachtelhund	Germany	104	German Spaniel	https://www.fci.be/en/nomenclature/GERMAN-SPANIEL-104.html	Retrievers	Definitive
Clumber Spaniel	Great Britain	109		https://www.fci.be/en/nomenclature/CLUMBER-SPANIEL-109.html	Retrievers	Definitive
English Cocker Spaniel	Great Britain	5		https://www.fci.be/en/nomenclature/ENGLISH-COCKER-SPANIEL-5.html	Retrievers	Definitive
English Springer Spaniel	Great Britain	125		https://www.fci.be/en/nomenclature/ENGLISH-SPRINGER-SPANIEL-125.html	Retrievers	Definitive
Field Spaniel	Great Britain	123		https://www.fci.be/en/nomenclature/FIELD-SPANIEL-123.html	Retrievers	Definitive
Sussex Spaniel	Great Britain	127		https://www.fci.be/en/nomenclature/SUSSEX-SPANIEL-127.html	Retrievers	Definitive
Welsh Springer Spaniel	Great Britain	126		https://www.fci.be/en/nomenclature/WELSH-SPRINGER-SPANIEL-126.html	Retrievers	Definitive
Nederlandse Kooikerhondje	The Netherlands	314		https://www.fci.be/en/nomenclature/NEDERLANDSE-KOOIKERHONDJE-314.html	Retrievers	Definitive
American Cocker Spaniel	United States Of America	167		https://www.fci.be/en/nomenclature/AMERICAN-COCKER-SPANIEL-167.html	Retrievers	Definitive
Barbet	France	105	French Water Dog	https://www.fci.be/en/nomenclature/FRENCH-WATER-DOG-105.html	Retrievers	Definitive
Irish Water Spaniel	Ireland	124		https://www.fci.be/en/nomenclature/IRISH-WATER-SPANIEL-124.html	Retrievers	Definitive
Lagotto Romagnolo	Italy	298	Romagna Water Dog	https://www.fci.be/en/nomenclature/ROMAGNA-WATER-DOG-298.html	Retrievers	Definitive
Cão De Agua Português	Portugal	37	Portuguese Water Dog	https://www.fci.be/en/nomenclature/PORTUGUESE-WATER-DOG-37.html	Retrievers	Definitive
Perro De Agua Español	Spain	336	Spanish Water Dog	https://www.fci.be/en/nomenclature/SPANISH-WATER-DOG-336.html	Retrievers	Definitive
Wetterhoun	The Netherlands	221	Frisian Water Dog	https://www.fci.be/en/nomenclature/FRISIAN-WATER-DOG-221.html	Retrievers	Definitive
American Water Spaniel	United States Of America	301		https://www.fci.be/en/nomenclature/AMERICAN-WATER-SPANIEL-301.html	Retrievers	Definitive
