Breed	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Chien De Saint Hubert	Belgium	84	Bloodhound	https://www.fci.be/en/nomenclature/BLOODHOUND-84.html	Scent	Definitive
Rastreador Brasileiro	Brazil	275	Brazilian Tracker	https://www.fci.be/en/nomenclature/BRAZILIAN-TRACKER-275.html	Scent	Definitive
Billy	France	25		https://www.fci.be/en/nomenclature/BILLY-25.html	Scent	Definitive
Français Tricolore	France	219	French Tricolour Hound	https://www.fci.be/en/nomenclature/FRENCH-TRICOLOUR-HOUND-219.html	Scent	Definitive
Français Blanc Et Noir	France	220	French White & Black Hound	https://www.fci.be/en/nomenclature/FRENCH-WHITE-BLACK-HOUND-220.html	Scent	Definitive
Français Blanc Et Orange	France	316	French White And Orange Hound	https://www.fci.be/en/nomenclature/FRENCH-WHITE-AND-ORANGE-HOUND-316.html	Scent	Definitive
Gascon Saintongeois	France	21		https://www.fci.be/en/nomenclature/GASCON-SAINTONGEOIS-21.html	Scent	Definitive
Grand Griffon Vendeen	France	282		https://www.fci.be/en/nomenclature/GRAND-GRIFFON-VENDEEN-282.html	Scent	Definitive
Grand Anglo-Français Tricolore	France	322	Great Anglo-French Tricolour Hound	https://www.fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-TRICOLOUR-HOUND-322.html	Scent	Definitive
Grand Anglo-Français Blanc Et Orange	France	324	Great Anglo-French White & Orange Hound	https://www.fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-WHITE-ORANGE-HOUND-324.html	Scent	Definitive
Grand Anglo-Français Blanc Et Noir	France	323	Great Anglo-French White And Black Hound	https://www.fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-WHITE-AND-BLACK-HOUND-323.html	Scent	Definitive
Grand Bleu De Gascogne	France	22	Great Gascony Blue	https://www.fci.be/en/nomenclature/GREAT-GASCONY-BLUE-22.html	Scent	Definitive
Poitevin	France	24		https://www.fci.be/en/nomenclature/POITEVIN-24.html	Scent	Definitive
English Foxhound	Great Britain	159		https://www.fci.be/en/nomenclature/ENGLISH-FOXHOUND-159.html	Scent	Definitive
Otterhound	Great Britain	294		https://www.fci.be/en/nomenclature/OTTERHOUND-294.html	Scent	Definitive
Ogar Polski	Poland	52	Polish Hound	https://www.fci.be/en/nomenclature/POLISH-HOUND-52.html	Scent	Definitive
American Foxhound	United States Of America	303		https://www.fci.be/en/nomenclature/AMERICAN-FOXHOUND-303.html	Scent	Definitive
Black And Tan Coonhound	United States Of America	300		https://www.fci.be/en/nomenclature/BLACK-AND-TAN-COONHOUND-300.html	Scent	Definitive
Brandlbracke - (Vieräugl)	Austria	63	Austrian Black And Tan Hound	https://www.fci.be/en/nomenclature/AUSTRIAN-BLACK-AND-TAN-HOUND-63.html	Scent	Definitive
Steirische Rauhhaarbracke	Austria	62	Coarse-Haired Styrian Hound	https://www.fci.be/en/nomenclature/COARSE-HAIRED-STYRIAN-HOUND-62.html	Scent	Definitive
Tiroler Bracke	Austria	68	Tyrolean Hound	https://www.fci.be/en/nomenclature/TYROLEAN-HOUND-68.html	Scent	Definitive
Bosanski Ostrodlaki Gonic-Barak	Bosnia And Herzegovina	155	Bosnian Broken-Haired Hound - Called Barak	https://www.fci.be/en/nomenclature/BOSNIAN-BROKEN-HAIRED-HOUND-CALLED-BARAK-155.html	Scent	Definitive
Istarski Kratkodlaki Gonic	Croatia	151	Istrian Short-Haired Hound	https://www.fci.be/en/nomenclature/ISTRIAN-SHORT-HAIRED-HOUND-151.html	Scent	Definitive
Istarski  Ostrodlaki  Gonic	Croatia	152	Istrian Wire-Haired Hound	https://www.fci.be/en/nomenclature/ISTRIAN-WIRE-HAIRED-HOUND-152.html	Scent	Definitive
