Breed	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Afghan Hound	Afghanistan	228		https://www.fci.be/en/nomenclature/AFGHAN-HOUND-228.html	Sighthounds	Definitive
Saluki	Middle East	269		https://www.fci.be/en/nomenclature/SALUKI-269.html	Sighthounds	Definitive
Russkaya Psovaya Borzaya	Russian Federation	193	Borzoi - Russian Hunting Sighthound	https://www.fci.be/en/nomenclature/BORZOI-RUSSIAN-HUNTING-SIGHTHOUND-193.html	Sighthounds	Definitive
Deerhound	Great Britain	164		https://www.fci.be/en/nomenclature/DEERHOUND-164.html	Sighthounds	Definitive
Irish Wolfhound	Ireland	160		https://www.fci.be/en/nomenclature/IRISH-WOLFHOUND-160.html	Sighthounds	Definitive
Greyhound	Great Britain	158		https://www.fci.be/en/nomenclature/GREYHOUND-158.html	Sighthounds	Definitive
Whippet	Great Britain	162		https://www.fci.be/en/nomenclature/WHIPPET-162.html	Sighthounds	Definitive
Magyar Agar	Hungary	240	Hungarian Greyhound	https://www.fci.be/en/nomenclature/HUNGARIAN-GREYHOUND-240.html	Sighthounds	Definitive
Piccolo Levriero Italiano	Italy	200	Italian Sighthound	https://www.fci.be/en/nomenclature/ITALIAN-SIGHTHOUND-200.html	Sighthounds	Definitive
Azawakh	Mali	307		https://www.fci.be/en/nomenclature/AZAWAKH-307.html	Sighthounds	Definitive
Sloughi	Morocco	188		https://www.fci.be/en/nomenclature/SLOUGHI-188.html	Sighthounds	Definitive
Chart Polski	Poland	333	Polish Greyhound	https://www.fci.be/en/nomenclature/POLISH-GREYHOUND-333.html	Sighthounds	Definitive
Galgo Español	Spain	285	Spanish Greyhound	https://www.fci.be/en/nomenclature/SPANISH-GREYHOUND-285.html	Sighthounds	Definitive
