Breed	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
CANADIAN ESKIMO DOG	CANADA	211		https://www.fci.be/en/nomenclature/CANADIAN-ESKIMO-DOG-211.html	Spitz	Definitive
GRØNLANDSHUND	GREENLAND	274	GREENLAND DOG	https://www.fci.be/en/nomenclature/GREENLAND-DOG-274.html	Spitz	Definitive
SAMOIEDSKAÏA SABAKA	NORTHERN RUSSIA, SIBERIA	212	SAMOYED	https://www.fci.be/en/nomenclature/SAMOYED-212.html	Spitz	Definitive
ALASKAN MALAMUTE	UNITED STATES OF AMERICA	243		https://www.fci.be/en/nomenclature/ALASKAN-MALAMUTE-243.html	Spitz	Definitive
SIBERIAN HUSKY	UNITED STATES OF AMERICA	270		https://www.fci.be/en/nomenclature/SIBERIAN-HUSKY-270.html	Spitz	Definitive
SUOMENPYSTYKORVA	FINLAND	49	FINNISH SPITZ	https://www.fci.be/en/nomenclature/FINNISH-SPITZ-49.html	Spitz	Definitive
KARJALANKARHUKOIRA	FINLAND	48	KARELIAN BEAR DOG	https://www.fci.be/en/nomenclature/KARELIAN-BEAR-DOG-48.html	Spitz	Definitive
NORSK ELGHUND SORT	NORWAY	268	NORWEGIAN ELKHOUND BLACK	https://www.fci.be/en/nomenclature/NORWEGIAN-ELKHOUND-BLACK-268.html	Spitz	Definitive
NORSK ELGHUND GRÅ	NORWAY	242	NORWEGIAN ELKHOUND GREY	https://www.fci.be/en/nomenclature/NORWEGIAN-ELKHOUND-GREY-242.html	Spitz	Definitive
NORSK LUNDEHUND	NORWAY	265	NORWEGIAN LUNDEHUND	https://www.fci.be/en/nomenclature/NORWEGIAN-LUNDEHUND-265.html	Spitz	Definitive
VOSTOTCHNO-SIBIRSKAÏA LAÏKA	RUSSIAN FEDERATION	305	EAST SIBERIAN LAIKA	https://www.fci.be/en/nomenclature/EAST-SIBERIAN-LAIKA-305.html	Spitz	Definitive
RUSSKO-EVROPEÏSKAÏA LAÏKA	RUSSIAN FEDERATION	304	RUSSIAN-EUROPEAN LAIKA	https://www.fci.be/en/nomenclature/RUSSIAN-EUROPEAN-LAIKA-304.html	Spitz	Definitive
ZAPADNO-SIBIRSKAÏA LAÏKA	RUSSIAN FEDERATION	306	WEST SIBERIAN LAIKA	https://www.fci.be/en/nomenclature/WEST-SIBERIAN-LAIKA-306.html	Spitz	Definitive
JÄMTHUND	SWEDEN	42		https://www.fci.be/en/nomenclature/JAMTHUND-42.html	Spitz	Definitive
NORRBOTTENSPETS	SWEDEN	276	NORRBOTTENSPITZ	https://www.fci.be/en/nomenclature/NORRBOTTENSPITZ-276.html	Spitz	Definitive
SUOMENLAPINKOIRA	FINLAND	189	FINNISH LAPPONIAN DOG	https://www.fci.be/en/nomenclature/FINNISH-LAPPONIAN-DOG-189.html	Spitz	Definitive
LAPINPOROKOIRA	FINLAND	284	LAPPONIAN HERDER	https://www.fci.be/en/nomenclature/LAPPONIAN-HERDER-284.html	Spitz	Definitive
ÍSLENSKUR FJÁRHUNDUR	ICELAND	289	ICELANDIC SHEEPDOG	https://www.fci.be/en/nomenclature/ICELANDIC-SHEEPDOG-289.html	Spitz	Definitive
NORSK BUHUND	NORWAY	237	NORWEGIAN BUHUND	https://www.fci.be/en/nomenclature/NORWEGIAN-BUHUND-237.html	Spitz	Definitive
