Breed	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Gos Rater Valencià	Spain	370	Valencian Terrier	Https://Www.Fci.Be/En/Nomenclature/Valencian-Terrier-370.Html	Terriers	Provisional
Continental Bulldog	Switzerland	369		Https://Www.Fci.Be/En/Nomenclature/Continental-Bulldog-369.Html	Pinscher and Schnauzer	Provisional
Cão De Gado Transmontano	Portugal	368	Transmontano Mastiff	Https://Www.Fci.Be/En/Nomenclature/Transmontano-Mastiff-368.Html	Pinscher and Schnauzer	Provisional
Eesti Hagijas	Estonia	366	Estonian Hound	Https://Www.Fci.Be/En/Nomenclature/Estonian-Hound-366.Html	Scent hounds and related breeds	Provisional
Miniature American Shepherd	United States Of America	367		Https://Www.Fci.Be/En/Nomenclature/Miniature-American-Shepherd-367.Html	Sheepdogs and Cattledogs (except Swiss Cattledogs)	Provisional
Yakutskaya Laika	Russian Federation	365	Yakutian Laika	Https://Www.Fci.Be/En/Nomenclature/Yakutian-Laika-365.Html	Spitz and primitive types	Provisional
Chodsky Pes	Czech Republic	364	Bohemian Shepherd Dog	Https://Www.Fci.Be/En/Nomenclature/Bohemian-Shepherd-Dog-364.Html	Sheepdogs and Cattledogs (except Swiss Cattledogs)	Provisional
Prazsky Krysarik	Czech Republic	363	Prague Ratter	Https://Www.Fci.Be/En/Nomenclature/Prague-Ratter-363.Html	Companion and Toy Dogs	Provisional
Anjing Kintamani-Bali	Indonesia	362	Kintamani-Bali Dog	Https://Www.Fci.Be/En/Nomenclature/Kintamani-Bali-Dog-362.Html	Spitz and primitive types	Provisional
Segugio Maremmano	Italy	361		Https://Www.Fci.Be/En/Nomenclature/Segugio-Maremmano-361.Html	Scent hounds and related breeds	Provisional
Lancashire Heeler	England	360		Https://Www.Fci.Be/En/Nomenclature/Lancashire-Heeler-360.Html	Sheepdogs and Cattledogs (except Swiss Cattledogs)	Provisional
Australian Stumpy Tail Cattle Dog	Australia	351		Https://Www.Fci.Be/En/Nomenclature/Australian-Stumpy-Tail-Cattle-Dog-351.Html	Sheepdogs and Cattledogs (except Swiss Cattledogs)	Provisional
