Breed	Variety	Breed Group (KC)	Import Status (KC)	Source (KC)
Affenpinscher		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/affenpinscher/
Afghan Hound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/afghan-hound/
Airedale Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/airedale-terrier/
Akita		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/akita/
Alaskan Malamute		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/alaskan-malamute/
Anatolian Shepherd Dog		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/
Australian Cattle Dog		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/australian-cattle-dog/
Australian Shepherd		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/
Australian Silky Terrier		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/australian-silky-terrier/
Australian Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/australian-terrier/
Azawakh		Hound	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/azawakh-imp/
Barbet		Gundog	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/barbet-imp/
Basenji		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/basenji/
Basset Bleu De Gascogne		Hound	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/basset-bleu-de-gascogne-imp/
Basset Fauve De Bretagne		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/basset-fauve-de-bretagne/
Basset Griffon Vendeen	Grand	Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/basset-griffon-vendeen-grand/
Basset Griffon Vendeen	Petit	Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/basset-griffon-vendeen-petit/
Basset Hound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/basset-hound/
Bavarian Mountain Hound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/bavarian-mountain-hound/
Beagle		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/beagle/
Bearded Collie		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/bearded-collie/
Beauceron		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/beauceron/
Bedlington Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/bedlington-terrier/
Belgian Shepherd Dog	Groenendael	Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-groenendael/
Belgian Shepherd Dog	Laekenois	Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-laekenois/
Belgian Shepherd Dog	Malinois	Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-malinois/
Belgian Shepherd Dog	Tervueren	Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-tervueren/
Bergamasco		Pastoral	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/bergamasco-imp/
Bernese Mountain Dog		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/bernese-mountain-dog/
Bichon Frise		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/bichon-frise/
Black & Tan Coonhound		Hound	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/black-tan-coonhound-imp/
Bloodhound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/bloodhound/
Bolognese		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/bolognese/
Border Collie		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/border-collie/
Border Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/border-terrier/
