Breed	iDog_ID	iDog_Ref	Alt_Names	Country_of_Origin	AKC	CKC	UKC	FCI
Affenpinscher	CB1	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=1	Affen|Affie|Monkey Dog|Monkey Terrier	Germany, France	http://akc.org/dog-breeds/affenpinscher	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/Affenpinscher	https://www.ukcdogs.com/affenpinscher	http://www.fci.be/en/nomenclature/AFFENPINSCHER-186.html
Afghan Hound	CB2	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=2	Afghan Hound|Tazi|Tazhi Spay, Da|Kochyano Spay, Sage|Balochi, Ogar Afgan|Barakzai Hound, Eastern|Greyhound/Persian|Greyhound	Afghanistan	http://akc.org/dog-breeds/afghan-hound	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Afghan-Hound	https://www.ukcdogs.com/afghan-hound	http://www.fci.be/en/nomenclature/AFGHAN-HOUND-228.html
Airedale Terrier	CB3	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=3	Airedale|King of Terriers|Waterside Terrier|Bingley Terrier	United Kingdom (England)	http://akc.org/dog-breeds/airedale-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Airedale-Terrier	https://www.ukcdogs.com/airedale-terrier	http://www.fci.be/en/nomenclature/AIREDALE-TERRIER-7.html
Akita	CB4	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=4	Akita|Akita Inu|Akita Ken|Japanese Akita|American Akita|Great Japanese Dog	Japan	http://akc.org/dog-breeds/akita	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Akita	https://www.ukcdogs.com/akita	http://www.fci.be/en/nomenclature/AKITA-255.html
Alaskan Malamute	CB5	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=5	Mal|Mally|Alaskan Malamute	United States	http://akc.org/dog-breeds/alaskan-malamute	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Alaskan-Malamute	https://www.ukcdogs.com/alaskan-malamute	http://www.fci.be/en/nomenclature/ALASKAN-MALAMUTE-243.html
American English Coonhound	CB6	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=6	American English Coonhound|English Coonhound|Redtick Coonhound	United States	http://akc.org/dog-breeds/american-english-coonhound		https://www.ukcdogs.com/enlgish-coonhound	
American Eskimo Dog	CB7	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=7	Eskie|Eskimo Spitz|American Spitz|German Spitz	Germany	http://akc.org/dog-breeds/american-eskimo-dog		https://www.ukcdogs.com/american-eskimo	
American Foxhound	CB8	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=8	Foxhound|American Foxhound	United States	http://akc.org/dog-breeds/american-foxhound	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Foxhound-American	https://www.ukcdogs.com/american-foxhound	http://www.fci.be/en/nomenclature/AMERICAN-FOXHOUND-303.html
American Hairless Terrier	CB9	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=9	AHT|American Hairless Terrier	United States	http://akc.org/dog-breeds/american-hairless-terrier		https://www.ukcdogs.com/american-hairless-terrier	
American Leopard Hound	CB10	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=10	American Leopard Hound|American Leopard Hound	United States	http://akc.org/dog-breeds/american-leopard-hound		https://www.ukcdogs.com/american-leopard-hound-	
American Staffordshire Terrier	CB11	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=11	AmStaff|American Staffordshire Terrier	United States	http://akc.org/dog-breeds/american-staffordshire-terrier	https://www.ckc.cahttp://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/American-Staffordshire-Terrier		http://www.fci.be/en/nomenclature/AMERICAN-STAFFORDSHIRE-TERRIER-286.html
American Water Spaniel	CB12	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=12	AWS|American Brown Spaniel|American Brown Water,	United States	http://akc.org/dog-breeds/american-water-spaniel	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Spaniel-American-Water	https://www.ukcdogs.com/american-water-spaniel	http://www.fci.be/en/nomenclature/AMERICAN-WATER-SPANIEL-301.html
Anatolian Shepherd Dog	CB13	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=13	Anatolian Shepherd Dog|Karabas(Blackhead)|Anatolian Blackhead (Anadolulu Karabas), Kangal	Turkey	http://akc.org/dog-breeds/anatolian-shepherd-dog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Anatolian-Shepherd-Dog	https://www.ukcdogs.com/anatolian-shepherd	http://www.fci.be/en/nomenclature/ANATOLIAN-SHEPHERD-DOG-331.html
Appenzeller Sennenhunde	CB14	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=14	Appenzeller Sennenhunde|Appenzeller|Appenzell Cattle Dog|Appenzeller Mountain Dog	Switzerland	http://akc.org/dog-breeds/appenzeller-sennenhunde		https://www.ukcdogs.com/appenzeller	http://www.fci.be/en/nomenclature/APPENZELL-CATTLE-DOG-46.html
Australian Cattle Dog	CB15	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=15	Australian Cattle Dog|ACD|Cattle Dog|Blue Heeler|Red Heeler|Queensland Heeler	Australia	http://akc.org/dog-breeds/australian-cattle-dog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Australian-Cattle-Dog	https://www.ukcdogs.com/australian-cattle-dog	http://www.fci.be/en/nomenclature/AUSTRALIAN-CATTLE-DOG-287.html
