Breed,Source,Organization,Country,TransboundaryName
Affenpinscher,https://www.akc.org/dog-breeds/affenpinscher/,AKC,USA,Affenpinscher
Afghan Hound,https://www.akc.org/dog-breeds/afghan-hound/,AKC,USA,Afghan Hound
Airedale Terrier,https://www.akc.org/dog-breeds/airedale-terrier/,AKC,USA,Airedale Terrier
Akita,https://www.akc.org/dog-breeds/akita/,AKC,USA,Akita
Alaskan Klee Kai,https://www.akc.org/dog-breeds/alaskan-klee-kai/,AKC,USA,Alaskan Klee Kai
Alaskan Malamute,https://www.akc.org/dog-breeds/alaskan-malamute/,AKC,USA,Alaskan Malamute
American Bulldog,https://www.akc.org/dog-breeds/american-bulldog/,AKC,USA,American Bulldog
American English Coonhound,https://www.akc.org/dog-breeds/american-english-coonhound/,AKC,USA,American English Coonhound
American Eskimo Dog,https://www.akc.org/dog-breeds/american-eskimo-dog/,AKC,USA,American Eskimo Dog
American Foxhound,https://www.akc.org/dog-breeds/american-foxhound/,AKC,USA,American Foxhound
American Hairless Terrier,https://www.akc.org/dog-breeds/american-hairless-terrier/,AKC,USA,American Hairless Terrier
American Leopard Hound,https://www.akc.org/dog-breeds/american-leopard-hound/,AKC,USA,American Leopard Hound
American Staffordshire Terrier,https://www.akc.org/dog-breeds/american-staffordshire-terrier/,AKC,USA,American Staffordshire Terrier
American Water Spaniel,https://www.akc.org/dog-breeds/american-water-spaniel/,AKC,USA,American Water Spaniel
Anatolian Shepherd Dog,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/,AKC,USA,Anatolian Shepherd Dog
Appenzeller Sennenhund,https://www.akc.org/dog-breeds/appenzeller-sennenhund/,AKC,USA,Appenzeller Sennenhund
Australian Cattle Dog,https://www.akc.org/dog-breeds/australian-cattle-dog/,AKC,USA,Australian Cattle Dog
Australian Kelpie,https://www.akc.org/dog-breeds/australian-kelpie/,AKC,USA,Australian Kelpie
Australian Shepherd,https://www.akc.org/dog-breeds/australian-shepherd/,AKC,USA,Australian Shepherd
Australian Stumpy Tail Cattle Dog,https://www.akc.org/dog-breeds/australian-stumpy-tail-cattle-dog/,AKC,USA,Australian Stumpy Tail Cattle Dog
Australian Terrier,https://www.akc.org/dog-breeds/australian-terrier/,AKC,USA,Australian Terrier
Azawakh,https://www.akc.org/dog-breeds/azawakh/,AKC,USA,Azawakh
Barbado da Terceira,https://www.akc.org/dog-breeds/barbado-da-terceira/,AKC,USA,Barbado da Terceira
Barbet,https://www.akc.org/dog-breeds/barbet/,AKC,USA,Barbet
Basenji,https://www.akc.org/dog-breeds/basenji/,AKC,USA,Basenji
Basset Fauve de Bretagne,https://www.akc.org/dog-breeds/basset-fauve-de-bretagne/,AKC,USA,Basset Fauve de Bretagne
Basset Hound,https://www.akc.org/dog-breeds/basset-hound/,AKC,USA,Basset Hound
Bavarian Mountain Scent Hound,https://www.akc.org/dog-breeds/bavarian-mountain-scent-hound/,AKC,USA,Bavarian Mountain Scent Hound
Beagle,https://www.akc.org/dog-breeds/beagle/,AKC,USA,Beagle
Bearded Collie,https://www.akc.org/dog-breeds/bearded-collie/,AKC,USA,Bearded Collie
Beauceron,https://www.akc.org/dog-breeds/beauceron/,AKC,USA,Beauceron
Bedlington Terrier,https://www.akc.org/dog-breeds/bedlington-terrier/,AKC,USA,Bedlington Terrier
Belgian Laekenois,https://www.akc.org/dog-breeds/belgian-laekenois/,AKC,USA,Belgian Laekenois
Belgian Malinois,https://www.akc.org/dog-breeds/belgian-malinois/,AKC,USA,Belgian Malinois
Belgian Sheepdog,https://www.akc.org/dog-breeds/belgian-sheepdog/,AKC,USA,Belgian Sheepdog
Belgian Tervuren,https://www.akc.org/dog-breeds/belgian-tervuren/,AKC,USA,Belgian Tervuren
Bergamasco Sheepdog,https://www.akc.org/dog-breeds/bergamasco-sheepdog/,AKC,USA,Bergamasco Sheepdog
Berger Picard,https://www.akc.org/dog-breeds/berger-picard/,AKC,USA,Berger Picard
Bernese Mountain Dog,https://www.akc.org/dog-breeds/bernese-mountain-dog/,AKC,USA,Bernese Mountain Dog
Bichon Frise,https://www.akc.org/dog-breeds/bichon-frise/,AKC,USA,Bichon Frise
Biewer Terrier,https://www.akc.org/dog-breeds/biewer-terrier/,AKC,USA,Biewer Terrier
